"catalogNumber","scientificName","country","locality","minimumAltitudeInMeters","eventDate","recordedBy","otherCatalogNumbers","specimen_image","cover_image","cover_barcode","sheet_type","latitude","longitude","formatted_address"
"FI-HCI-00050223","Endressia pyrenaica Gay.","","Pyr. orient. edit. ad Mont Lorief*.","",1837,"Bubani","FI-HCI-00050222","/CP1_20240402_BATCH_0001/FI-HCI-00050222.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021829.jpg","Folder-FI-HCI-0021829","",,,
"FI-HCI-00050519","Gaya simplex Gaud.","","M. Vergy in Savoja.","",1854,"Parlatore","FI-HCI-00050518","/CP1_20240402_BATCH_0001/FI-HCI-00050518.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021855.jpg","Folder-FI-HCI-0021855","",,,
"FI-HCI-00050517","Gaya simplex Gaud.","","In pascuis alpinis M. Vergy (Satavda*).","",,"collector unknown","FI-HCI-00050518","/CP1_20240402_BATCH_0001/FI-HCI-00050518.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021855.jpg","Folder-FI-HCI-0021855","",,,
"FI-HCI-00050520","Gaya simplex Gaud.","","In pascuis alpinis Mt. Vergy en Savoie.","6500'",1842,"Theod. d Heldreich","FI-HCI-00050518","/CP1_20240402_BATCH_0001/FI-HCI-00050518.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021855.jpg","Folder-FI-HCI-0021855","",,,
"FI-HCI-00050390","Gaya simplex R","","Leyuan (or hûres) *","3090",1900,"Lino Vaccari","FI-HCI-00050390","/CP1_20240402_BATCH_0001/FI-HCI-00050390.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",,,
"FI-HCI-00050390","Gaya simplex","","Valgniande ","2857",1900,"Lino Vaccari","FI-HCI-00050390","/CP1_20240402_BATCH_0001/FI-HCI-00050390.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",,,
"FI-HCI-00050531","Gaya simplex Gaud.","","Fidzer* ""Aly* vb* Parpan. (Grunbushen*). ","2000 m.",1868,"Ex herb. Joh. Coaz","FI-HCI-00050532","/CP1_20240402_BATCH_0001/FI-HCI-00050532.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021855.jpg","Folder-FI-HCI-0021855","",46.7600325,9.5577416,"parpan, switzerland"
"FI-HCI-00050364","Gaya simplex Gaud","","Montlenis","",,"A. Atugyenin","FI-HCI-00050364","/CP1_20240402_BATCH_0001/FI-HCI-00050364.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050137","Meum mutellina Gaert. et DeCand.","","Meum Mutelline. Toutes les Alpes du pied du Mont-Blanc.","",,"collector unknown","FI-HCI-00050136","/CP1_20240402_BATCH_0001/FI-HCI-00050136.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",45.8326223,6.8651749,"mont blanc"
"FI-HCI-00050437","Gaya simplex","","Valle d'Arbale*.","",1902,"Lino Vaccari","FI-HCI-00050437","/CP1_20240402_BATCH_0001/FI-HCI-00050437.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",,,
"FI-HCI-00050038","Meum mutellina L. B elatiun Douy at Cannus *","","P. S. demanvo","",1897,"Lino Vaccari","FI-HCI-00050039","/CP1_20240402_BATCH_0001/FI-HCI-00050039.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021813.jpg","Folder-FI-HCI-0021813","",,,
"FI-HCI-00050241","Meun Pyrenaicum Gay in D.C.","","Valleé d'Eynes Pyrenées.","",,"D. Montagne","FI-HCI-00050240","/CP1_20240402_BATCH_0001/FI-HCI-00050240.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021830.jpg","Folder-FI-HCI-0021830","",42.4183333,2.1413889,"pic d'eyne, 66800 eyne, france"
"FI-HCI-00050359","Gaya simplex Gaud","","Lourrita Del Moute Gitello","2800 m",1889,"collector unknown","FI-HCI-00050359","/CP1_20240402_BATCH_0001/FI-HCI-00050359.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00034871","","","Tivamente é LAZIO ( prov. li Rieti).","",,"B. Ausuloue*","FI-HCI-00034870","/CP1_20240402_BATCH_0001/FI-HCI-00034870.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021788.jpg","Folder-FI-HCI-0021788","",42.4045985,12.8567824,"02100 rieti, province of rieti, italy"
"FI-HCI-00050042","Meum mutellina","","Val di' j. Dahelemy a cuney, cal di Fontaney a Ialam ru8","2000-2700",1899,"Lino Vaccari","FI-HCI-00050043","/CP1_20240402_BATCH_0001/FI-HCI-00050043.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021814.jpg","Folder-FI-HCI-0021814","",32.0321075,-95.4174538,"cuney, tx, usa"
"FI-HCI-00050041","Meum mutellina vav. elatines noryet canues *","","Gr. Sinen *","",1897,"Lino Vaccari","FI-HCI-00050043","/CP1_20240402_BATCH_0001/FI-HCI-00050043.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021814.jpg","Folder-FI-HCI-0021814","",,,
"FI-HCI-00050502","Gaya simplex DC.","","Alpi.","",,"Ex herb. Ricasolianum","FI-HCI-00050501","/CP1_20240402_BATCH_0001/FI-HCI-00050501.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021854.jpg","Folder-FI-HCI-0021854","",,,
"FI-HCI-00050436","Gaya simplex","","Combae.","",,"Unknown","FI-HCI-00050437","/CP1_20240402_BATCH_0001/FI-HCI-00050437.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",15.2763398,73.954351,"comba, madgaon, goa, india"
"FI-HCI-00050503","Gaya simplex Goudin","","Alpe Grigioni.","7000 pedi",,"Ex herb. Antonii Orsini","FI-HCI-00050501","/CP1_20240402_BATCH_0001/FI-HCI-00050501.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021854.jpg","Folder-FI-HCI-0021854","",46.6569871,9.5780257,"grisons, switzerland"
"FI-HCI-00050632","Selinum carvifolia L.?","","Jaundro?","",,"collector unknown","FI-HCI-00050633","/CP1_20240402_BATCH_0001/FI-HCI-00050633.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021889.jpg","Folder-FI-HCI-0021889","",3.8616853,11.5202292,"yaoundé, cameroon"
"FI-HCI-00050451","Pachypleurum","","","2200-2250",1950,"S. Zenari*","FI-HCI-00050450","/CP1_20240402_BATCH_0001/FI-HCI-00050450.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021851.jpg","Folder-FI-HCI-0021851","",,,
"FI-HCI-00050364","Gaya simplex Gaud","","Tre èleveis des alpes ruvle cel Sábres a uitcerce","",1860,"E. Rostan","FI-HCI-00050364","/CP1_20240402_BATCH_0001/FI-HCI-00050364.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050455","Gaya Simplex","","Monti el Fierozzo.","",1844,"Fratelli Perini","FI-HCI-00050455","/CP1_20240402_BATCH_0001/FI-HCI-00050455.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021851.jpg","Folder-FI-HCI-0021851","",46.1112856,11.3185822,"38050 fierozzo, autonomous province of trento, italy"
"FI-HCI-00050364","Gaya simplex Gaud","","Luoghi abi Alpina Del Congio a Bonche*  prerio* alleneri* eterne","",1860,"ex herb. R Musaei Florentini","FI-HCI-00050364","/CP1_20240402_BATCH_0001/FI-HCI-00050364.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",-0.228021,15.827659,"republic of the congo"
"FI-HCI-00050050","Meum mutellina Gaertn.","","Piwlo s. Denanvo","",1897,"Lino Vaccari","FI-HCI-00050049","/CP1_20240402_BATCH_0001/FI-HCI-00050049.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021814.jpg","Folder-FI-HCI-0021814","",,,
"FI-HCI-00050365","Gaya","","Supauis* aprines jureg boug Selamer de glace","",1829,"collector unknown","FI-HCI-00050365","/CP1_20240402_BATCH_0001/FI-HCI-00050365.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",26.1233718,86.6045134,"supaul, bihar 852131, india"
"FI-HCI-00050644","Selinum carvifolium L.","Italiana?","Frinli*, bormons*, paluule*.","",1868,"C. Marchesetti","FI-HCI-00050643","/CP1_20240402_BATCH_0001/FI-HCI-00050643.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021891.jpg","Folder-FI-HCI-0021891","",,,
"FI-HCI-00050141","Meum mutellina Gaertn","","Paraster zbnr Trins bn. Mizauy.*","5000 bn.?",1974,"Obrogh*","FI-HCI-00050141","/CP1_20240402_BATCH_0001/FI-HCI-00050141.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",,,
"FI-HCI-00050142","Meum mutellina Gärtn","","Warscheneck Kalk.","6500'",1884,"Klaus Steiringer*","FI-HCI-00050142","/CP1_20240402_BATCH_0001/FI-HCI-00050142.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",47.65,14.2333333,"warscheneck, 4582, austria"
"FI-HCI-00050143","Meum mutellina Gaertn.","","Auf allen Alpen gemein.","",1882,"J. Woynar","FI-HCI-00050143","/CP1_20240402_BATCH_0001/FI-HCI-00050143.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",46.8873983,9.6567822,"alps"
"FI-HCI-00050144","Meum mutellina Grtn.","","Feldberg.","",1883,"Omez.*","FI-HCI-00050144","/CP1_20240402_BATCH_0001/FI-HCI-00050144.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",47.8589972,8.037044,"79868 feldberg, germany"
"FI-HCI-00050145","Meum mutellina Gaertn","","Moupdore religuioe.*","",1869,"Gautier Lacroze","FI-HCI-00050145","/CP1_20240402_BATCH_0001/FI-HCI-00050145.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",,,
"FI-HCI-00050146","Meum mutellina Gaert.","","Pfronten: In pascuis montis dolomitici Aggenstein.","1570 met.",1882,"Dr. E. Kugler.","FI-HCI-00050146","/CP1_20240402_BATCH_0001/FI-HCI-00050146.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",47.5766418,10.5264351,"87459 pfronten, germany"
"FI-HCI-00050147","Meum mutellina Gärtn","","Prairies des alpes Lens Valais* Suisze.","1400 - 1900 m.",,"Mce Besse","FI-HCI-00050147","/CP1_20240402_BATCH_0001/FI-HCI-00050147.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",46.2816742,7.4486411,"lens, switzerland"
"FI-HCI-00050148","Meum mutellina Gärtn.","","Tirol. orient. Lienz Kerschbaumeralpe.","6-7000'",1870,"rev. Gander.","FI-HCI-00050148","/CP1_20240402_BATCH_0001/FI-HCI-00050148.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",46.8543658,12.8109801,"kerschbaumeralm, 9990, austria"
"FI-HCI-00050149","Meum mutellina Gärtn.","","Tirol. orient. Lienz Kerschbaumeralpe.","6-7000'",1870,"rev. Gander.","FI-HCI-00050149","/CP1_20240402_BATCH_0001/FI-HCI-00050149.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",46.8543658,12.8109801,"kerschbaumeralm, 9990, austria"
"FI-HCI-00050150","Meum mutellina Gärtn","","Tirol. orient. Lienz Kerschbaumeralpe.","6-7000'",1870,"rev. Gander.","FI-HCI-00050150","/CP1_20240402_BATCH_0001/FI-HCI-00050150.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",46.8543658,12.8109801,"kerschbaumeralm, 9990, austria"
"FI-HCI-00050151","Meum mutellina (L.)","","Tirolia centr. In valle Selrain in ditione Oenipontana, solo schistoso.","",,"A. Kerner.","FI-HCI-00050151","/CP1_20240402_BATCH_0001/FI-HCI-00050151.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",,,
"FI-HCI-00050153","Meum mutellina (L.)","","Tirolia centr. In monte Rosskogel in ditione oenipontana, solo schistoso.","",,"A. Kerner.","FI-HCI-00050153","/CP1_20240402_BATCH_0001/FI-HCI-00050153.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",,,
"FI-HCI-00050154","Meum mutellina Gaertn","Austria","Otztal - Tirolo (Austria) Granaten Tal (Ober Gurgl).","",1951,"O. Bargagli - Petrucci","FI-HCI-00050154","/CP1_20240402_BATCH_0001/FI-HCI-00050154.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",46.8702519,11.0269261,"6456 obergurgl, austria"
"FI-HCI-00050155","Meum mutellina Gaertn","Austria","Otztal - Tirolo (Austria) Brunnencogl (Solden).","",1951,"O. Bargagli - Petrucci","FI-HCI-00050155","/CP1_20240402_BATCH_0001/FI-HCI-00050155.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",46.9457623,11.0519971,"6450 soelden, austria"
"FI-HCI-00050156","Meum mutellina Gaertn","Austria","Otztal - Tirolo (Austria) Morene del Ghiacciaio Rotmos Ferner presso Ober Gurgl.","",1951,"O. Bargagli - Petrucci","FI-HCI-00050156","/CP1_20240402_BATCH_0001/FI-HCI-00050156.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",46.8702519,11.0269261,"ötztal nature park, 6456 obergurgl, austria"
"FI-HCI-00050157","Meum mutellina Gaertn","","Alpentrifzm. zimigmhlen Rithnerhorn Tirol.*","7300",1884,"ex herb. D. Bergeest","FI-HCI-00050157","/CP1_20240402_BATCH_0001/FI-HCI-00050157.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",47.2537414,11.601487,"tyrol, austria"
"FI-HCI-00050158","Meum adonidifolium Gay","","Prairier fertiles; Mont cesius a la Barrié (Savoie).*","",1863,"E. Perriez.*","FI-HCI-00050158","/CP1_20240402_BATCH_0001/FI-HCI-00050158.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",,,
"FI-HCI-00050159","Meum mutellina Gärtn.","","Altvatergebirge: Gr. Kessel.?","",1932,"H. Laus","FI-HCI-00050159","/CP1_20240402_BATCH_0001/FI-HCI-00050159.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",50.0833333,17.1666667,"hrubý jeseník, 788 11 loučná nad desnou, czechia"
"FI-HCI-00050160","Meum mutellina Gärtn.","Slovakia","Slovakia Sept.: Tatra Magna: in parte superiore convallis Vel. Studená dolina, solo granit.","1800 - 2000 m.",1929,"R. Doleẑal | J. Suza","FI-HCI-00050160","/CP1_20240402_BATCH_0001/FI-HCI-00050160.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",49.1601183,20.2359871,"studená dolina, 059 60 vysoké tatry, slovakia"
"FI-HCI-00050161","Meum mutellina Gaert.","","Pfronten: In pascuis montis dolomitici Aggenstein.","1570 met.",1882,"Dr. E. Kugler.","FI-HCI-00050161","/CP1_20240402_BATCH_0001/FI-HCI-00050161.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",47.5766418,10.5264351,"87459 pfronten, germany"
"FI-HCI-00050162","Meum mutellina Gartn.","","Altvatergebirge: Gr. Kessel.","",1933,"H. Laus.","FI-HCI-00050162","/CP1_20240402_BATCH_0001/FI-HCI-00050162.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",50.0833333,17.1666667,"hrubý jeseník, 788 11 loučná nad desnou, czechia"
"FI-HCI-00050163","Meum mutellina Gaertn.","","Petit Galibier, au-dessus du Lautaret (Savoie): prairies sous le col, versant savoisien.","2200 m.",1878,"Arvet - Touv. | abb. Chaboisseau | abb. Faure","FI-HCI-00050163","/CP1_20240402_BATCH_0001/FI-HCI-00050163.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",45.243239,6.158652,"sous le col, 73130 saint-colomban-des-villards, france"
"FI-HCI-00050164","Meum mutellina Gaertn.","","Pruiries De la Chizrome an dessus D' Hanteluv.*","",1851,"Perrier E.","FI-HCI-00050164","/CP1_20240402_BATCH_0001/FI-HCI-00050164.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",,,
"FI-HCI-00050165","Meum mutellina Gaertn.","","Pâturages Du Kamtes montagnes mont Tileurg, Hauti - Savoie.*","2000 m.",1892,"P. Gave","FI-HCI-00050165","/CP1_20240402_BATCH_0001/FI-HCI-00050165.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",46.1756788,6.5389621,"haute-savoie, france"
"FI-HCI-00050166","Meum mutellina Gaertn.","","Le Galibier versant savoisien Pelouse rocaílleuses.","2900 m.",1900,"A. Faure","FI-HCI-00050166","/CP1_20240402_BATCH_0001/FI-HCI-00050166.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",,,
"FI-HCI-00050167","Meum mutellina Gaertn.","","Gol de la Magdeleine surla Maurienne, dans les prairies, région alpine. Dept. Savoie.","",1877,"A. Songeon","FI-HCI-00050167","/CP1_20240402_BATCH_0001/FI-HCI-00050167.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",45.2745994,6.3476594,"73300 saint-jean-de-maurienne, france"
"FI-HCI-00050168","Meum mutellina Gaertn","","Gol de la Magdeleine en Maurienne, dans les prairies, région alpine. Dept. Savoie.","",1877,"A. Songeon.","FI-HCI-00050168","/CP1_20240402_BATCH_0001/FI-HCI-00050168.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",45.2745994,6.3476594,"73300 saint-jean-de-maurienne, france"
"FI-HCI-00050169","Meum mutellina Gaertn.","","Prairies alp. Col. de la Madeleine.*","",1876,"A. Chabert","FI-HCI-00050169","/CP1_20240402_BATCH_0001/FI-HCI-00050169.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",45.4348142,6.3756049,"col de la madeleine, 73130 la léchère, france"
"FI-HCI-00050170","Meum mutellina Gaertn","","Prairies alpines Le Grand Arc.*","",1876,"A. Chabert","FI-HCI-00050170","/CP1_20240402_BATCH_0001/FI-HCI-00050170.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",45.566389,6.364722,"grand arc, 73730 saint-paul-sur-isère, france"
"FI-HCI-00050171","Meum mutellina Gaertn.","","Gazon d la région alpine Le Grand Arc.","",1896,"A. Chabert","FI-HCI-00050171","/CP1_20240402_BATCH_0001/FI-HCI-00050171.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",45.566389,6.364722,"grand arc, 73730 saint-paul-sur-isère, france"
"FI-HCI-00050172","Meum mutellina Gaertn.","","Gazons de la région alpine Le Grand Perron des Encomtres Savoie.","",1878,"A. Chabert","FI-HCI-00050172","/CP1_20240402_BATCH_0001/FI-HCI-00050172.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",45.2973621,6.4502701,"le grand perron des encombres, 73440 saint-julien-mont-denis, france"
"FI-HCI-00050173","Meum mutellina Gaertn.","Argentine","Prairies alp. - Mt Lortier. ","",1876,"A. Charbert","FI-HCI-00050173","/CP1_20240402_BATCH_0001/FI-HCI-00050173.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021824.jpg","Folder-FI-HCI-0021824","",46.8796822,-110.3625658,"montana, usa"
"FI-HCI-00050174","Meum mutellina Gärtn.","Slovakia","Slovakia Sept: Tatra magna: in parte superiore convallis Vel. Studená dolina.","1800 - 2000 m.",1929,"R. Doležal | J. Suza","FI-HCI-00050174","/CP1_20240402_BATCH_0001/FI-HCI-00050174.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021825.jpg","Folder-FI-HCI-0021825","",49.1601183,20.2359871,"studená dolina, 059 60 vysoké tatry, slovakia"
"FI-HCI-00050175","Meum mutellina Gaertn.","","Cray lur lessoe (Gruzerè).","2074 m.",1906,"Lri* Castella","FI-HCI-00050175","/CP1_20240402_BATCH_0001/FI-HCI-00050175.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021825.jpg","Folder-FI-HCI-0021825","",,,
"FI-HCI-00050176","Meum mutellina Gaert.","","Pfronten: In pascuis montis dolomitici Aggenstein.","1570 met.",1882,"Dr. E. Kugler","FI-HCI-00050176","/CP1_20240402_BATCH_0001/FI-HCI-00050176.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021825.jpg","Folder-FI-HCI-0021825","",47.5766418,10.5264351,"87459 pfronten, germany"
"FI-HCI-00050177","Meum mutellina","","In pascuis alpinis elatis Montamert*.","",1849,"Ex herb. Parlatoreanum","FI-HCI-00050177","/CP1_20240402_BATCH_0001/FI-HCI-00050177.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021825.jpg","Folder-FI-HCI-0021825","",,,
"FI-HCI-00050179","Ligusticum mutellina","","Près Meiringen.","",,"collector unknown","FI-HCI-00050179","/CP1_20240402_BATCH_0001/FI-HCI-00050179.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021825.jpg","Folder-FI-HCI-0021825","",46.7251614,8.1909081,"meiringen, switzerland"
"FI-HCI-00050180","Meum mutellina Gärtn","Suizzera","San Pieto prepo il San Bernardo.","",1832,"H. Dr. Brunner","FI-HCI-00050180","/CP1_20240402_BATCH_0001/FI-HCI-00050180.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021825.jpg","Folder-FI-HCI-0021825","",,,
